Article	roleplaying	rpgs	xcode	hopper	kong	bytecode	battle	japan	sega	handheld	kinect	invaders	ada	firstperson	survival	game	mmorpgs	fallout	sony	ds	compiler	taito	bestselling	lisp	gun	xbox	playstation	studios	netbeans	rockstar	babbage	namco	neo	cartridge	entertainment	multiplayer	uml	racing	nes	360	compilers	2600	franchises	capcom	genre	super	legend	boy	paradigms	players	iso	tactical	adventure	3ds	lovelace	gamecube	wii	turnbased	arcades	perl	arcade	nintendos	gameplay	tennis	sports	stealth	snes	mary	ead	controller	thirdperson	atari	platformer	debugging	indie	accessories	bros	player	ar	cobol	pong	famicom	genres	zelda	games	sim	gaming	combat	scrum	mario	actionadventure	nintendo	gamers	pokmon	shooter	consoles	fighting	mmorpg	joystick	axn	
PlayStation_Network	0	0	0	0	1	0	0	16	0	1	0	0	0	0	0	26	0	0	118	0	0	0	9	0	0	2	171	7	0	0	0	2	0	0	33	3	0	0	2	0	0	0	0	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	0	0	2	0	1	1	4	0	0	0	0	2	0	0	0	0	0	6	0	2	0	0	0	0	0	0	53	0	9	0	0	0	0	1	0	0	0	3	0	0	2	27	
Game_Developers_Conference	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	74	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	31	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	
History_of_video_games	8	3	0	0	5	0	1	20	23	21	1	9	0	6	3	203	4	0	15	2	0	6	3	0	6	29	44	4	0	0	0	3	0	1	18	10	0	7	8	11	0	5	4	5	12	5	3	12	0	9	0	1	8	3	0	12	28	2	17	0	47	14	7	4	4	1	6	0	0	12	0	33	2	0	0	2	0	8	0	1	8	4	10	4	265	1	60	3	0	4	1	55	4	1	5	72	2	0	2	0	
Xbox_360	0	0	0	0	0	0	0	5	3	2	10	0	0	0	0	33	0	0	1	3	0	0	3	0	0	207	8	5	0	0	0	0	2	0	6	1	0	2	1	111	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	0	20	1	0	0	0	0	1	0	0	7	0	6	0	0	2	5	0	3	0	0	0	0	0	0	48	0	5	1	0	0	0	3	0	0	0	12	0	0	0	0	
PlayStation	0	0	0	0	0	0	0	23	1	10	0	0	0	0	0	34	0	0	166	1	0	0	10	0	2	3	378	11	0	0	0	2	1	0	42	1	0	1	2	2	0	0	2	0	0	7	1	1	0	4	0	0	0	0	0	1	1	0	1	0	2	1	1	1	3	0	0	0	0	44	0	0	0	0	0	6	0	4	0	0	0	1	0	0	75	0	8	0	0	0	0	7	1	0	0	18	1	0	3	27	
List_of_best-selling_video_game_franchises	27	1	0	0	6	0	4	10	16	7	1	0	0	12	6	232	0	2	11	8	0	1	13	0	2	18	48	17	0	8	0	13	0	0	30	5	0	27	2	7	0	1	25	14	2	15	4	8	0	11	0	10	12	5	0	3	24	9	1	0	22	5	7	0	34	3	0	0	0	0	8	5	4	0	0	0	3	8	0	0	0	2	3	2	212	0	4	4	0	34	13	46	0	7	24	14	11	0	0	0	
Touchscreen	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	1	0	
Sports_game	3	0	0	0	0	0	2	0	12	0	0	0	0	2	2	80	0	0	0	0	0	5	1	0	1	0	2	0	0	0	0	0	0	0	0	4	0	9	1	0	0	0	3	0	7	2	0	0	0	20	0	3	1	1	0	1	12	2	3	0	11	1	7	7	69	1	0	0	0	1	3	3	0	0	1	0	0	9	0	0	1	0	4	0	66	5	3	6	0	7	1	6	0	0	1	3	6	1	0	0	
Augmented_reality	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	98	0	0	0	0	0	7	0	5	2	0	0	0	0	0	4	0	0	0	0	0	0	
Ping_pong	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	34	0	1	0	0	0	0	0	0	0	0	0	0	2	64	3	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
